"subject_type","subject_source","subject_id","predicate","object_type","object_source","object_id","qualifier","remarks"
"recordings","","9006","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","95","",""
"recordings","","9006","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17109","",""
"recordings","","9006","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9007","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9007","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9007","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9008","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9008","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9008","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9009","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9009","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9009","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9010","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9010","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9010","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9011","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9011","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9011","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9012","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","97","",""
"recordings","","9012","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15598","",""
"recordings","","9012","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9013","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","63","",""
"recordings","","9013","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17057","",""
"recordings","","9014","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","63","",""
"recordings","","9014","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17057","",""
"recordings","","9015","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","63","",""
"recordings","","9015","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17057","",""
"recordings","","9016","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","63","",""
"recordings","","9016","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17057","",""
"recordings","","9017","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","544","",""
"recordings","","9017","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","12939","",""
"recordings","","9017","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","12938","",""
"recordings","","9020","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","33","",""
"recordings","","9021","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","68","",""
"recordings","","9021","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15881","",""
"recordings","","9021","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15882","",""
"recordings","","9021","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9022","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","116","",""
"recordings","","9022","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15599","",""
"recordings","","9022","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9023","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","116","",""
"recordings","","9023","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15599","",""
"recordings","","9023","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9024","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","176","",""
"recordings","","9024","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9025","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","176","",""
"recordings","","9025","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9026","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","113","",""
"recordings","","9026","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15414","",""
"recordings","","9026","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9027","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","113","",""
"recordings","","9027","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15414","",""
"recordings","","9027","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
