"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"24369","20170817104457.jpg","https://bio.acousti.ca/sites/default/files/20170817104457.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2219720","2866","2024",""
"24370","20170817104518.jpg","https://bio.acousti.ca/sites/default/files/20170817104518.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","900273","2338","1654",""
"24371","20170817104542.jpg","https://bio.acousti.ca/sites/default/files/20170817104542.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2182102","2866","2024",""
"24372","20170817104602_1.jpg","https://bio.acousti.ca/sites/default/files/20170817104602_1.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1956743","2866","2024",""
"24373","20170817104602_2.jpg","https://bio.acousti.ca/sites/default/files/20170817104602_2.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2654847","2866","2024",""
"24374","20170817104633.jpg","https://bio.acousti.ca/sites/default/files/20170817104633.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1354595","2866","2024",""
"24375","20170817104651.jpg","https://bio.acousti.ca/sites/default/files/20170817104651.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","904828","2338","1654",""
"24376","20170817104713.jpg","https://bio.acousti.ca/sites/default/files/20170817104713.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2152123","2866","2024",""
"24377","20170817104735.jpg","https://bio.acousti.ca/sites/default/files/20170817104735.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2352743","2866","2024",""
"24378","20170817104751.jpg","https://bio.acousti.ca/sites/default/files/20170817104751.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1130268","2338","1654",""
"24379","20170817104811.jpg","https://bio.acousti.ca/sites/default/files/20170817104811.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2392810","2866","2024",""
"24380","20170817104833.jpg","https://bio.acousti.ca/sites/default/files/20170817104833.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2469627","2866","2024",""
"24381","20170817104851.jpg","https://bio.acousti.ca/sites/default/files/20170817104851.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1004543","2338","1654",""
"24382","20170817104912.jpg","https://bio.acousti.ca/sites/default/files/20170817104912.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2156203","2866","2024",""
"24383","20170817104940_1.jpg","https://bio.acousti.ca/sites/default/files/20170817104940_1.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2415984","2866","2024",""
"24384","20170817104940_2.jpg","https://bio.acousti.ca/sites/default/files/20170817104940_2.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1599785","2866","2024",""
"24385","20170817105012.jpg","https://bio.acousti.ca/sites/default/files/20170817105012.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2263559","2866","2024",""
"24407","20170817105027.jpg","https://bio.acousti.ca/sites/default/files/20170817105027_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1018859","2338","1654",""
"24408","20170817105054.jpg","https://bio.acousti.ca/sites/default/files/20170817105054.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1057884","2338","1654",""
"24409","20170817105114.jpg","https://bio.acousti.ca/sites/default/files/20170817105114.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1036753","2338","1654",""
"24410","20170817105138.jpg","https://bio.acousti.ca/sites/default/files/20170817105138.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1017296","2338","1654",""
"24411","20170817105159.jpg","https://bio.acousti.ca/sites/default/files/20170817105159.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3750605","2866","2024",""
"24412","20170817105216.jpg","https://bio.acousti.ca/sites/default/files/20170817105216.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3866567","2866","2024",""
"24413","20170817105235.jpg","https://bio.acousti.ca/sites/default/files/20170817105235.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1009367","2338","1654",""
"24414","20170817105254.jpg","https://bio.acousti.ca/sites/default/files/20170817105254.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3784059","2866","2024",""
"24415","20170817105313.jpg","https://bio.acousti.ca/sites/default/files/20170817105313.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3831025","2866","2024",""
"24416","20170817105235.jpg","https://bio.acousti.ca/sites/default/files/20170817105235_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1009367","2338","1654",""
"24417","20170817105254.jpg","https://bio.acousti.ca/sites/default/files/20170817105254_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3784059","2866","2024",""
"24418","20170817105313.jpg","https://bio.acousti.ca/sites/default/files/20170817105313_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3831025","2866","2024",""
"24419","20170817105430.jpg","https://bio.acousti.ca/sites/default/files/20170817105430.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1073282","2338","1654",""
"24420","20170817105452.jpg","https://bio.acousti.ca/sites/default/files/20170817105452.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3732526","2866","2024",""
"24421","20170817105512.jpg","https://bio.acousti.ca/sites/default/files/20170817105512.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3721118","2866","2024",""
"24422","20170824113419.jpg","https://bio.acousti.ca/sites/default/files/20170824113419.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","944596","2338","1654",""
