"id","scientificName","basisOfRecord","institutionCode","collectionCode","catalogNumber","otherCatalogNumbers","typeStatus","sex","lifeStage","individualCount","recordedBy","eventDate","identifiedBy","dateIdentified","identificationQualifier","associatedSequences","locality","countryCode","decimalLatitude","decimalLongitude","occurrenceRemarks","info_url"
"11848","Platypleura divisa","PreservedSpecimen","AMGS","MHV Cicadas","982","","","","","","Ben Price","2007-12-14T00:00:00","","","","","R38 nr Barberton","ZA","-25.653","31.266","","https://bio.acousti.ca/node/11848"
"11849","Platypleura divisa","PreservedSpecimen","AMGS","MHV Cicadas","983","","","","","","Ben Price","2007-12-13T00:00:00","","","","","R33 nr Houtkop Farm","ZA","-26.678","30.706","","https://bio.acousti.ca/node/11849"
"11850","Platypleura divisa","PreservedSpecimen","AMGS","MHV Cicadas","989","","","","","","Ben Price","","","","","","nr Jozini","ZA","-27.046","32.347","","https://bio.acousti.ca/node/11850"
"11869","Munza furva","PreservedSpecimen","AMGS","MHV Cicadas","939","","","","","","Ben Price","2007-12-15T00:00:00","","","","","R36 nr Tzaneen","ZA","-23.622","30.127","","https://bio.acousti.ca/node/11869"
"11870","Munza furva","PreservedSpecimen","AMGS","MHV Cicadas","940","","","","","","Ben Price","2007-12-16T00:00:00","","","","","R523 nr Vivo","ZA","-22.98","29.281","","https://bio.acousti.ca/node/11870"
"11968","Acanthopleura","LivingSpecimen","NHMUK","BMNH(E)","2?","","","","","","John D. Taylor","1969-01-01T00:00:00","John D. Taylor","1969-01-01T00:00:00","","","","SC","-9.416681","46.41665","","https://bio.acousti.ca/node/11968"
"11981","Platypleura haglundi","PreservedSpecimen","AMGS","MHV Cicadas","973","","","","","","Ben Price","2007-12-14T00:00:00","","2007-12-14T00:00:00","","","R38 nr Barberton","ZA","-25.722","31.058","","https://bio.acousti.ca/node/11981"
"11982","Platypleura haglundi","PreservedSpecimen","AMGS","MHV Cicadas","975","","","","","","Ben Price","2007-12-16T00:00:00","Ben Price","","","","Morning Sun Ranch, Makhado","ZA","-22.941","29.878","","https://bio.acousti.ca/node/11982"
"11983","Platypleura haglundi","PreservedSpecimen","AMGS","MHV Cicadas","976","","","","","","Ben Price","2007-12-14T00:00:00","Ben Price","","","","Blyde River Canyon","ZA","-24.554","30.733","","https://bio.acousti.ca/node/11983"
"11984","Platypleura haglundi","PreservedSpecimen","AMGS","MHV Cicadas","978","","","","","","Ben Price","2007-12-10T00:00:00","Ben Price","","","","nr Qudeni Forest","ZA","-28.919","30.852","","https://bio.acousti.ca/node/11984"
