"source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","taxon","type","lat","lon","contact"
"bio.acousti.ca","9309","Edward Baker","234","2016-10-17 17:10","view","http://bio.acousti.ca/sites/default/files/409_7_Tettigeta_argentata_501r7.wav","http://bio.acousti.ca/node/9309","0","36.97777","Tettigeta argentata","Voice Introduction","","","234"
"bio.acousti.ca","11437","Edward Baker","235","2016-10-17 17:20","view","http://bio.acousti.ca/sites/default/files/MHV%20959%20B.brevis%20Morningside%20Ranch%20%231.wav","http://bio.acousti.ca/content/959-brevisiana-brevis","0","2.587754","Brevisiana brevis","Voice Introduction","","","235"
"bio.acousti.ca","11438","Edward Baker","236","2016-10-17 17:28","view","http://bio.acousti.ca/sites/default/files/MHV%201408%20Brevisiana%20brevis%20Dedza.wav","http://bio.acousti.ca/content/1408-brevisiana-brevis","1.529067","3.723093","Brevisiana brevis","Voice Introduction","","","236"
"bio.acousti.ca","11439","Edward Baker","237","2016-10-17 17:29","view","http://bio.acousti.ca/sites/default/files/MHV%20946%20P.brunea%20Queenstown%20%231.wav","http://bio.acousti.ca/content/946-platypleura-brunea","0.617113","6.614088","Platypleura brunea","Voice Introduction","","","237"
"bio.acousti.ca","11444","Edward Baker","238","2016-10-17 17:30","view","http://bio.acousti.ca/sites/default/files/MHV%20949%20P.cf_.%20brunea%20Liesure%20Bay.wav","http://bio.acousti.ca/content/949-platypleura-cf-brunea","1.123934","4.270238","Platypleura cf. brunea","Voice Introduction","","","238"
"bio.acousti.ca","8962","qgeissmann","242","2016-10-20 16:40","view","http://bio.acousti.ca/sites/default/files/372-2_Chorthippus_brunneus_305_.wav","http://bio.acousti.ca/node/8962","168.8345","182.8586","Chorthippus Glyptobothrus brunneus","Call","","","242"
"bio.acousti.ca","9929","qgeissmann","243","2016-10-20 16:48","view","http://bio.acousti.ca/sites/default/files/565_5_Chorthippus_brunneus_781a.wav","http://bio.acousti.ca/node/9929","111.5899","124.3082","Chorthippus Glyptobothrus brunneus","Call","","","243"
"bio.acousti.ca","11777","Nanoletter","247","2016-10-21 15:09","view","http://bio.acousti.ca/sites/default/files/MHV%20515%20P.divisa%20S%20of%20Whittlesey%20%232.WAV","http://bio.acousti.ca/content/5152-platypleura-divisa","1.402666","14.21866","Platypleura divisa","Voice Introduction","","","247"
"bio.acousti.ca","11777","Nanoletter","248","2016-10-21 15:11","view","http://bio.acousti.ca/sites/default/files/MHV%20515%20P.divisa%20S%20of%20Whittlesey%20%232.WAV","http://bio.acousti.ca/content/5152-platypleura-divisa","39.80388","45.58947","Platypleura divisa","Extraneous Noise","","","248"
"bio.acousti.ca","11777","Nanoletter","249","2016-10-21 15:16","view","http://bio.acousti.ca/sites/default/files/MHV%20515%20P.divisa%20S%20of%20Whittlesey%20%232.WAV","http://bio.acousti.ca/content/5152-platypleura-divisa","33.35012","39.80388","Platypleura divisa","Call (with extraneous noise)","","","249"
